organization,skills,occupations,id,title,description,experience_level,type,location,location_code,nuts1,nuts2,nuts3,upload_date,source,source_id
,"['http://data.europa.eu/esco/skill/11747665-0e98-4f27-bd0d-536862cd5746', 'http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7', 'http://data.europa.eu/esco/skill/1c9bb265-6ff7-428e-9a72-9c8df75178b8', 'http://data.europa.eu/esco/skill/292549e6-08ec-456c-b008-eba7a0a68428', 'http://data.europa.eu/esco/skill/3cd35f5d-ce6d-4f14-9a09-53d7a28d834c', 'http://data.europa.eu/esco/skill/5f2efbdf-08a2-49cd-9c06-bd284e4f0fbf', 'http://data.europa.eu/esco/skill/6c97d04d-7239-4dc7-90ef-3e812ba2b124', 'http://data.europa.eu/esco/skill/7ee9fb56-91b1-4363-b51f-ea54ae1b5761', 'http://data.europa.eu/esco/skill/b011c8b4-76e1-4bbc-8bb9-1d205e7b618a', 'http://data.europa.eu/esco/skill/cf310cff-0d28-4dbc-9dbb-cc500a3196c2', 'http://data.europa.eu/esco/skill/d8567009-7c6f-43fb-82fb-7154ed8ebca9']","['http://data.europa.eu/esco/occupation/53cdd34e-22f2-41bd-b3c7-de22bf9bbcae', 'http://data.europa.eu/esco/occupation/6353b3e8-e8f2-4ecb-b230-186927139892', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442']",20,Junior Buyer (Fixed-Term),"Do you want to make a dynamic start in the purchasing industry and gain experience in procurement processes? 🎓
Are you familiar with the use of ERP systems and Excel?💻
Are you looking for a position where communication, persistence and targeted search play a leading role?📈

            If so, then the position of Junior Buyer is exactly what you are looking for!
ManpowerGroup Greece, on behalf of a Group of companies, with commercial, technical and industrial activity, is looking for the next Junior Buyer, who will join the team.
    📌 Location: Athens (Easy access by public transport)
    📍 Working model: For life
    📢​ Working hours: Monday-Friday, 09:00 – 16:00
    🎯 ​Duration of contract: Initial contract of 3 months, with the prospect of renewal
What the role includes:

International market research and analysis to find and evaluate new suppliers
Negotiating prices, terms and contracts with suppliers to secure the best possible deals
Management and maintenance of relationships with existing suppliers
Monitor and analyze market trends and prices
Data entry into company systems

What we're looking for:

University/Technical Degree
Previous experience in a similar role or office positions will be valued (profiles without experience will also be evaluated)
Excellent knowledge of the English Language
Good use of MS Office programs
Communication skills & negotiation skills
Team spirit

Salary and benefits package:
✔️    Competitive salary package
📖 Ongoing training and support for professional development in a fast-paced team environment
🚀 Development prospects in a dynamic environment
👥 Assessment stages include:

If this role interests you, please do not hesitate to apply directly. Our consultants will contact candidates who meet the above requirements to schedule an interview.
As for the next steps, there will be 1 more interview with the company/client.",Entry / Junior,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168893
,"['http://data.europa.eu/esco/skill/082967d4-b94c-4305-aa13-35a6aa8c5c7c', 'http://data.europa.eu/esco/skill/1973c966-f236-40c9-b2d4-5d71a89019be', 'http://data.europa.eu/esco/skill/234aeb8d-56c3-4531-9193-1c5e6a8d16cb', 'http://data.europa.eu/esco/skill/6c80d53c-d8c9-41fe-998f-091fca208834', 'http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca', 'http://data.europa.eu/esco/skill/ea4ebfa1-e17a-4416-ac54-955f33e6ade7', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']",['http://data.europa.eu/esco/isco/C251'],25,Office Coordinator – Code Position R2024,"You will deal with:

Management of electronic learning platform (LMS) and its users
Organization, preparation and coordination of educational programs
Data entry in the company's CRM & reporting
Technical support of virtual trainings 

Necessary qualifications

Degree of HEI-TEI
1-3  years of experience in secretarial support
Excellent computer skills (MS Office) and especially the use of spreadsheets (Excel) and professional presentations (Power point)
Familiarity with online collaboration platforms (MS Teams, Webex) is desirable
Excellent knowledge and use of the Greek and English languages ​​(written and spoken)
Knowledge of CRM management (Salesforce) desired

We expect you to show through your work:

Customer-centric behavior aimed at providing quality services
Ability to meet schedules with quality and reliable output
Focus and initiative in managing problems or changes in a timely manner
Mood for cooperation and teamwork

We offer you:

competitive salary, depending on your experience and qualifications
productivity bonus
medical care etc.

You can send your CV to jobs@response.gr by writing in the Subject: R2024
Our team looks forward to meeting you!",Entry / Junior,Full-time,"Marousi, Greece",EL,,,,2024-09-09,kariera.gr,168887
,"['http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']","['http://data.europa.eu/esco/occupation/0b15375e-dfdd-4047-9efb-096e0aaee7d2', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/isco/C11']",38,E-Shop Assistant - PAIANIA,"The company Allforbabies.gr is looking for an e-shop/customer care employee at their offices in Peania. The duration of the contract is indefinite.
Main Duties:

Daily management of internet orders
Monitoring and coordination of orders in collaboration with the logistic center.
Customer service (phone, email, social media)
Data entry – new products (technical characteristics, photos)
Continuous updating of the site with current products and offers.

Qualifications:

College or university degree
Knowledge of MS Office
Communication and organizational skills, team spirit
Good use of English language

Will be appreciated:

Experience in e-commerce
Knowledge of Softone program",Mid-level,Full-time,"Paiania, Greece",EL,,,,2024-09-09,kariera.gr,168784
,"['http://data.europa.eu/esco/skill/0bfb44c7-c412-49ed-aab4-e33d0dd3b265', 'http://data.europa.eu/esco/skill/2239694b-771a-4586-8b54-2794e361a9ae', 'http://data.europa.eu/esco/skill/450de541-797a-4da0-9fe4-a81471c8047d', 'http://data.europa.eu/esco/skill/6f8baa62-bc2b-4cc1-942b-f540c837cfa2', 'http://data.europa.eu/esco/skill/7935deb6-0bed-4e38-985e-1f83b8e16940', 'http://data.europa.eu/esco/skill/be20d05c-f6b4-4580-9fcf-f00f4baab562', 'http://data.europa.eu/esco/skill/c09bf6d4-f8a7-40f3-aead-ef01643f2352', 'http://data.europa.eu/esco/skill/de7b8c6c-9ed4-4776-924c-4265dd1d9cde', 'http://data.europa.eu/esco/skill/df5e3d02-9f0f-44ee-91c2-85c62f161868']","['http://data.europa.eu/esco/occupation/6a29d804-f775-446c-bec7-35fc4e28ac97', 'http://data.europa.eu/esco/occupation/6fcf4638-e7c7-4978-9302-9a7b63a3d57c', 'http://data.europa.eu/esco/occupation/a7594892-ff23-4e2a-aedf-2f967ebca15c', 'http://data.europa.eu/esco/occupation/c956be07-53a3-4b01-b8f8-f0c5a428eaa8', 'http://data.europa.eu/esco/isco/C2424', 'http://data.europa.eu/esco/isco/C522']",43,Junior Field Sales Representative,"Mellon Technologies, the parent company of Mellon Group of Companies, was founded in 1994 in Athens. Our offering consists of specialized technology solutions, contact centre and business process outsourcing services.
Mellon Technologies is seeking motivated and energetic Junior Field Sales Representatives to join our team.The primary responsibility of this role is to visit door-to-door retail merchants to promote payment acceptance solutions and services related to EFTPOS (Electronic Funds Transfer at Point Of Sale). This is an exciting opportunity to join a dynamic team and grow with a leading company in the financial services industry.
Key Responsibilities:

Conduct door-to-door sales visits to retail merchants within assigned territories
Promote and sell EFTPOS solutions to potential customers
Demonstrate product features and benefits to prospective clients
Build and maintain strong relationships with retail merchants
Achieve sales targets and KPIs set by the management
Provide excellent customer service and support to clients
Collect and report market feedback and sales data to the management team
Attend training sessions and sales meetings as required

Requirements:

High school diploma or equivalent; a bachelor’s degree in business, marketing, or a related field is a plus
Previous experience in sales, especially field sales or door-to-door sales, is preferred
Excellent communication and interpersonal skills
Strong negotiation and persuasion abilities
Self-motivated with a results-driven approach
Ability to work independently and as part of a team
Valid driver’s license

Benefits:

Competitive salary and commission structure
Multicultural and excellent working environment
Opportunities for career advancement",Entry / Junior,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168866
,"['http://data.europa.eu/esco/skill/0b144726-21c2-46ed-8d13-c03d27f61604', 'http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137', 'http://data.europa.eu/esco/skill/8a753714-9a19-4418-9b37-77e79d72c705', 'http://data.europa.eu/esco/skill/95760903-58e9-4194-842a-a24e0af43074', 'http://data.europa.eu/esco/skill/9a42bdc6-8496-4874-b9f5-b48207a85282', 'http://data.europa.eu/esco/skill/c68e4cc4-b842-4660-a84c-48f11c70f657', 'http://data.europa.eu/esco/skill/d56a2182-14e0-4319-ab2f-0133aa67672b']","['http://data.europa.eu/esco/occupation/01a83071-6533-4675-b2da-f0c6d02669f5', 'http://data.europa.eu/esco/occupation/12ff7f9c-c5b5-4d4a-b585-c350dd1400eb', 'http://data.europa.eu/esco/occupation/2d32bea0-dccd-4dc5-9ea9-c51c653a46ef', 'http://data.europa.eu/esco/occupation/3b129d8d-268e-465a-b0c5-bf32cae59a41', 'http://data.europa.eu/esco/occupation/929ef41d-afd0-4d5a-b85b-69eab68fa368', 'http://data.europa.eu/esco/occupation/942211c1-b534-4a14-ae85-38ea44c2d14b']",69,Claims Executive,"Join Avis: Where Your Career Finds Purpose and We Redefine Mobility At Avis, we're transforming the way people move and leading the change in the global mobility industry. We're on a mission to innovate and create integrated products and services that open up entirely new travel opportunities with unprecedented convenience and flexibility.Why Avis is the Place to Be:🤝 A Great Place to Work: Avis is more than a company; it's a community that values its people. We take immense pride in providing a collaborative working environment, committed to nurturing innovation, and placing the customer at the core of everything we do.🚀 Your Career, Your Purpose: Join us, and you'll discover that Avis is where your career truly finds its purpose. We're not just offering jobs; we're inviting the best talent to become part of our vision for a better, more connected world.🗝️ Unlock Your Potential with Avis Greece – Claims Executive🗝️Avis Greece is on the hunt for an exceptional Claims Executive who will act as a member of Claims & Insurance Department. A Claims Executive has a multilevel role which includes settling claims using best practices, communicating with clients involved in car accidents but also with third parties, insurance companies regarding claims collection etc. Are you an expert in claims management and client communication? If so, this could be the ideal role for you.🎯 Your Mission:Handle end to end communication and claims settling with customers, third parties, Insurance Companies Maintain an efficient filing system for company’s accidents and claims Reporting and data entry of accidents reports and claims Interact with internal groups such as LTR, RAC and Legal DepartmentAssignment to law firms and follow-up of litigated claims Manage total loss and stolen vehicles processes Requirements🌟 What Spells Success: Your Qualifications  Educational Background: University degree in Insurance, Economics/Business Administration or relevant field  Experience: 2-3 years of working experience in motor claims handling   Analytical Skills: Excel in using MS-Office applications  Team Player: Exhibit a strong team spirit, ethical conduct, and reliability while also being capable of working independently  Effective Multi-Tasking: Manage multiple ongoing tasks with shifting priorities while maintaining attention to detail  Analytical Thinking: Showcase advanced analytical thinking and problem-solving skills  Initiative: Be proactive in suggesting improvements and taking the initiative  Communication: Possess excellent written and verbal communication skills in Greek and English  Customer-centric perception: Focus on excellent customer service Benefits   💼 Explore the Avis PerksCompetitive salary package and bonus schemeHybrid work model Health and life insurance  Pension Plan program  A buddy will support you with your onboarding Monthly Miles for coffee and snacks Opportunity to work in a fast-growing industry with talented people Training opportunities and a continuous feedback performance management system   Unlock your full potential! Apply now to join Avis Greece as our Claims Executive. #AvisGreece #UnlockYourPotential #Operations",Mid-level,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168842
,"['http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f', 'http://data.europa.eu/esco/skill/0550431f-9c8b-4204-9c45-59bc5feacf06', 'http://data.europa.eu/esco/skill/114a79ef-1e62-475b-a862-954f5b4cca20', 'http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1', 'http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e', 'http://data.europa.eu/esco/skill/2fb8480e-de3c-462b-b169-e8bbb344da68', 'http://data.europa.eu/esco/skill/5119a6dd-64ca-48e5-a906-85b9ab84aefd', 'http://data.europa.eu/esco/skill/95bff246-c3ce-4181-a11b-e4363453c2f8', 'http://data.europa.eu/esco/skill/a8d24a95-47b3-4f88-92e7-06600bcd3612', 'http://data.europa.eu/esco/skill/adc6dc11-3376-467b-96c5-9b0a21edc869', 'http://data.europa.eu/esco/skill/ccbd0898-e225-4abc-8992-57a23b0e2eec', 'http://data.europa.eu/esco/skill/cf310cff-0d28-4dbc-9dbb-cc500a3196c2', 'http://data.europa.eu/esco/skill/d3e9b00a-0891-4fa8-836d-8240ec3d2758', 'http://data.europa.eu/esco/skill/ed3f3dba-3a35-4ed5-b113-67f4d10ef4c8', 'http://data.europa.eu/esco/skill/f4a6e9f7-5cff-46c0-894c-59c20bb78694']","['http://data.europa.eu/esco/occupation/139fba7b-6c1f-40ee-8acf-78f97e57c905', 'http://data.europa.eu/esco/occupation/1f8967ce-9faa-4d56-a656-50e041f7d07e', 'http://data.europa.eu/esco/occupation/2082e125-d06b-43e6-957f-b7aa3c48dc2f', 'http://data.europa.eu/esco/occupation/2296fa07-98ae-4875-b18d-96ed86134ffb', 'http://data.europa.eu/esco/occupation/652b847f-837a-4a08-bd5e-36397fe56455', 'http://data.europa.eu/esco/occupation/b343dd0c-8a83-4e13-a79c-0ac52f526c64', 'http://data.europa.eu/esco/occupation/ec0e64c9-6d9b-4a9f-a022-a418f3b381fe', 'http://data.europa.eu/esco/isco/C2']",105,QA/QC Engineer,"SABO is a Greek industrial company, based in Vassiliko Chalkida, in Evia. It has subsidiaries in Brazil, Romania and Italy and its field of activity is more than 50 countries. For 40 years we have supported the development of our customers by providing integrated solutions in the fields of ceramics, heavy industry, solid waste management, energy and automation, as well as shipping.
Our successful operation is based on the expertise, innovation and collaborative spirit of our team, which is committed to making a global impact. This highly motivated team is looking for a QA/QC Engineer.
The role in detail:

Control of spare parts and Primitive Materials upon their receipt
Control of processed machine shop products (dimensional, hardness measurements, etc.)
Inspection of metal constructions of external partners upon their receipt
Performing Quality Control tests according to company procedures
Recording test results and archiving them
Participation in final machinery testing
Update of Quality Management systems
Issuance of defect reports
Update of reports of donated consumables
Contribution to the continuous improvement of the company's Quality Management System

 Required Qualifications:

Degree in Mechanical Engineering or equivalent specialization
Excellent knowledge of the English language in written and spoken language
Excellent computer skills, MS Office
Methodology, observation, attention to detail, organizational skills
Ability to manage time and work under pressure
Team spirit, hard work and responsibility
Ability to take initiative and solve problems
Any knowledge of ISO 9001, ISO 14001 and ISO 45001 management systems would be an added advantage

 The company offers:

Ability to work with a highly motivated team
Attractive work environment
Opportunities for continuous learning and professional development
Competitive remuneration package
Private Life & Health insurance

 Diversity, equality and inclusion are a priority for us! SABO ensures a safe and balanced work environment, based on respect, providing an equal number of opportunities to every employee who meets the necessary conditions.
 
   Here at @SABO, we care about your privacy. The security of your data is one of our priorities. All information is strictly confidential and compliant with GDPR rules.
 
Meet our team... and APPLY NOW 😊",Entry / Junior,Full-time,"Lilantioi, Greece",EL,,,,2024-09-09,kariera.gr,168785
,"['http://data.europa.eu/esco/skill/16f61a5b-23ba-4268-8517-82c77c4041a1', 'http://data.europa.eu/esco/skill/1ddc021d-d818-4731-904f-842d7491f419', 'http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3', 'http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d', 'http://data.europa.eu/esco/skill/9cfd8148-f8cb-4512-914a-cfbc0ed3dfbb', 'http://data.europa.eu/esco/skill/ab986bc4-df92-4351-9ac1-aa75af943cf7', 'http://data.europa.eu/esco/skill/bdcac0c8-b77a-4640-9eaf-c0cf3efd1e23', 'http://data.europa.eu/esco/skill/cb668e89-6ef5-4ff3-ab4a-506010e7e70b', 'http://data.europa.eu/esco/skill/e3e42d54-78bd-4337-aa87-bb31a7670c9a', 'http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535', 'http://data.europa.eu/esco/skill/fe77f9ca-7bd2-4a68-98f4-8463a4fb8301']","['http://data.europa.eu/esco/occupation/044d78cc-f62f-4532-83a5-8e04f2889652', 'http://data.europa.eu/esco/occupation/21de0f3b-a71a-4263-a9ba-90c5f3721b4d', 'http://data.europa.eu/esco/occupation/bafbc672-0ad9-41af-9de8-db0c91a24f9b', 'http://data.europa.eu/esco/occupation/c3aae59e-1441-4b3e-bdd1-6da50dc7cf42', 'http://data.europa.eu/esco/isco/C141', 'http://data.europa.eu/esco/isco/C2411', 'http://data.europa.eu/esco/isco/C3313', 'http://data.europa.eu/esco/isco/C334', 'http://data.europa.eu/esco/isco/C3343', 'http://data.europa.eu/esco/isco/C4311', 'http://data.europa.eu/esco/isco/C4313']",106,Accounting/Administrative Assistant,"iLand, a company operating in the fields of construction and hospitality services, based in Alimos, Athens, is seeking to employ a motivated person to work as an accounting and administrative assistant.
You are expected to work closely with our Management Team on miscellaneous financial matters regarding the company and its clients, as well as collaborate with our outsource Accounting Partners on a regular basis to make sure all corporate financial data are updated and handled.
Responsibilities of the position include:

Reconciling invoices and identifying discrepancies
Communicating with vendors and partners about invoices and payments
Creating and updating expense reports
Issuing invoices to customers
Handling various accounting related inquiries for the Management Team (e.g. update on regulations, advising on financial procedures, assisting with tax return, resolving issues by visiting public organizations if required etc.)
Checking spreadsheets for accuracy
Establishing and maintaining digital and physical financial records
Collaborating with Property Management dpt regarding monthly bills payments for clients
Assisting with payroll (verifying timesheets, calculating vacation/sick days, assuring proper procedures are followed etc.)
Running various routine administrative/clerical duties, as required

Required skills:

BSc/BA in Accounting, Finance or relevant field
Work experience as an Accounting Assistant or Accounting Clerk
Very good knowledge of the Greek and the English language (verbal and written)
Hands-on experience with accounting software (SoftOne)
Excellent knowledge of basic bookkeeping procedures and familiarity with finance regulations, especially regarding corporate accounting
Meticulous with great attention to details and accuracy
Microsoft office literacy (mostly excel, word, power-point)
Ability to handle sensitive, confidential information
Highly motivated and able to prioritize efficiently when needed
Excellent communication and organization skills
Strong “can-do” mentality and punctuality
Professional manners and elegant appearance
Experience in CRM solutions will be considered an asset

Do you want to work in a prestigious multinational company as a vital member of the office team? Are you searching for a demanding, yet respectful and rewarding job environment that will help you bring out and enhance your diligence, wittiness and professional skills? Are you looking for an opportunity to further develop and grow with the company that you will be working for? Apply here now!
The Company offers:

Attractive Remuneration Package
Public Insurance
Private Insurance package
Friendly multinational working environment
Development opportunities",Entry / Junior,Full-time,"Alimos, Greece",EL,,,,2024-09-09,kariera.gr,168786
,"['http://data.europa.eu/esco/skill/094e594d-83cc-4480-bad8-fae0ec2ed8ab', 'http://data.europa.eu/esco/skill/0e21e183-e787-4f23-a240-93b416c088c2', 'http://data.europa.eu/esco/skill/7c3865d1-e5a9-4043-a7a4-2e9e30468c0b', 'http://data.europa.eu/esco/skill/80274731-15ce-490a-8d5b-f55a36b976b0', 'http://data.europa.eu/esco/skill/85ac537a-9233-42cc-a6e8-73851e77d214', 'http://data.europa.eu/esco/skill/906c9e66-bdee-4f8e-93d7-88d9fcf39a0a', 'http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d', 'http://data.europa.eu/esco/skill/a8d24a95-47b3-4f88-92e7-06600bcd3612', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535', 'http://data.europa.eu/esco/skill/fc3cdc2c-7b79-4b5c-a4b0-f3b996fef849']","['http://data.europa.eu/esco/occupation/1b38a27d-ef98-4d9f-b1b2-8c109bf47e79', 'http://data.europa.eu/esco/isco/C2', 'http://data.europa.eu/esco/isco/C242']",148,Administration and Front Office Assistant,"ICAP Recruitment Solutions is one of the premium consultancies and part of ICAP People & Employment Solutions, the largest HR Services Provider in Greece and Cyprus. With more than 50 years of experience, we specialize in assessing and recruiting graduates to mid-level level professionals for both local and multinational companies across all sectors.ICAP Recruitment Solutions, on behalf of its client, a pioneer in providing comprehensive solutions and continuous technical support to healthcare professionals and patients, is seeking candidates for the following position.
Administration and Front Office Assistant (Ref. 5680/AFOA/RS/GR)
The role is responsible for being the first point of contact for clients and visitors while playing a crucial role in ensuring the smooth operation of the office and maintaining a warm and welcoming atmosphere.Key Responsibilities:

Greet and assist visitors and clients in a friendly and professional manner.
Answer and direct incoming phone calls, taking messages when needed.
Manage daily office operations, including mail handling, filing and ordering office supplies.
Provide administrative support to various departments, including data entry, scheduling meetings and preparing documents.
Assist in organizing company events, meetings, and other activities.
Maintain a clean and organized front office area.
Support the management team with additional tasks as required.

Qualifications:

Prior experience in an administrative or front office role is a must.
Fluency in English, both written and spoken.
Proficiency in Microsoft Office Suite.
Excellent communication and interpersonal skills.
Strong organizational skills with the ability to multitask effectively.
Attention to detail and a proactive approach to problem-solving.
Ability to work independently as well as part of a team.

The Company Offers:

Attractive Salary.
Dynamic, professional, and pleasant work environment
Excellent opportunity for personal and professional development.

All information received will be treated with strict confidentiality.",Mid-level,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168728
,"['http://data.europa.eu/esco/skill/3bb6f78f-24f3-4799-b247-91a0c4bf5d81', 'http://data.europa.eu/esco/skill/f399a9c1-be41-4117-bf86-a64b503c4cfd', 'http://data.europa.eu/esco/skill/f8f1f725-0105-41fa-9887-4df9e7a7af1e']","['http://data.europa.eu/esco/occupation/6353b3e8-e8f2-4ecb-b230-186927139892', 'http://data.europa.eu/esco/occupation/dd25a2b0-add0-4ae2-bd85-bb644e0d0c39', 'http://data.europa.eu/esco/occupation/ef5b17a5-3ca8-4965-bd3d-61c4aca490d1']",165,SECRETARIAL SUPPORT,"JOB ADVERTISEMENT: SECRETARIAL SUPPORT A technical company with many years of presence in the industry is looking for a candidate for the position of Secretarial Support. Responsibilities: - Call center and mail management - Support in the organization and coordination of daily tasks - Use of Excel for data entry and analysis - Support in document management and files Required Qualifications:- Excellent knowledge of Excel- Politeness, professionalism and organizational skills - Team spirit and cooperative attitude - Previous experience in a similar position will be appreciated We offer:- Five-day work, Monday - Friday - Hours: 09:00 - 17:00 - Friendly and supportive work environment If you are interested in the position and meet the above qualifications, please send your CV to [email grammateia.dmitsiou.ath@gmail.com /2103639272]",Mid-level,Full-time,"Kallithea, Greece",EL,,,,2024-09-09,kariera.gr,168688
,"['http://data.europa.eu/esco/skill/47d491a9-f7c0-4b13-a10f-983d3aa0113e', 'http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1', 'http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca', 'http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3']",['http://data.europa.eu/esco/occupation/1619d7f3-7d95-407c-a20e-47745bfcde73'],219,Customer Service Officer - Mesogeia,"With a 40-year history in the field of Health, the BIOIATRIKI Group of Companies is the leading provider of Primary Care services in Greece. At BIOIATRIKI, our People are the heart of our company and actively support our Promise ""To be here for the Health of all"" . Driven by our Values: Respect for People, Commitment to Quality, Promotion of Prevention and Innovation & Safety, we create a work environment that promotes diversity and develops the potential of our employees. We are currently looking for a Customer Service Officer based in Mesogeia ( Markopoulo, Rafina, Pallini, Vari)Purpose of the position The provision of quality service and valid information to examinees, ensuring their optimal experience from the Group's services. Basic Responsibilities Reception and service of examinees with immediacy and responsibility. Registration of requested medical examinations in a software program. Scheduling and closing medical appointments. Delivery of medical results. Adherence to procedures in matters of Personal Data Management. Requirements Degree A.E.I., T.E.I., I.E.K. Desired previous experience in a similar position in the health field, in a call center (IKA-EOPYY closing appointment) or secretariat (Insurance company) Knowledge of blind typing system will be considered an additional qualification Possibility of employment in flexible hours/shifts Good knowledge of English language & PC Profile Candidate Human-centric perception and commitment to providing high quality services. High sense of responsibility, courtesy and patience Excellent communication skills and team spirit of cooperation. Benefits Development and development prospects in a modern and meritorious environment Excellent working conditions Provision of a group Health and Life program",Entry / Junior,Full-time,"Markopoulo Mesogaias, Greece",EL,,,,2024-09-09,kariera.gr,168643
