organization,skills,occupations,id,title,description,experience_level,type,location,location_code,nuts1,nuts2,nuts3,upload_date,source,source_id
,"['http://data.europa.eu/esco/skill/136e0cab-0b19-48f7-9086-745d615f416b', 'http://data.europa.eu/esco/skill/4339176e-3acd-4f7f-a5d9-445bee3d23f2', 'http://data.europa.eu/esco/skill/49de9958-2aa4-4eef-a89d-fe5d5bcd28c4', 'http://data.europa.eu/esco/skill/677d5144-4c77-4f8d-afc7-116f4bc0e660', 'http://data.europa.eu/esco/skill/aa0d8201-5a8e-417f-81f4-c04601139582', 'http://data.europa.eu/esco/skill/be20d05c-f6b4-4580-9fcf-f00f4baab562', 'http://data.europa.eu/esco/skill/dba46f87-0831-49cd-a1c7-340a653c0221', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']","['http://data.europa.eu/esco/occupation/6fcf4638-e7c7-4978-9302-9a7b63a3d57c', 'http://data.europa.eu/esco/occupation/72628f3a-fd49-499a-9741-870b0a1fcef2', 'http://data.europa.eu/esco/occupation/d5c4ab26-c293-4f4d-ad89-fe776f49a67f', 'http://data.europa.eu/esco/occupation/f605bcd2-90b6-45a0-a558-d05016d68a77']",19,Retail CRM Team Leader (VLTs),"We are #OPAP
We are Greece’s leading gaming company, with 65 years of history and Top Employer in Greece for 2023 & 2024. Our vision is to provide best-in-class entertainment in both retail and online, as well as to give back to society.
OPAP’s Fast Forward strategy guides our aspirations of delivering affordable and personalized entertainment experiences, while building an agile and dynamic company that enjoys long-term success. Customer centricity, digital orientation, agility, people engagement and social contribution are part of our DNA!
 
So what’s the challenge...
 
Are you ready to drive the transformation of customer relationships and boost engagement? As CRM Team Leader, you'll turn our Retail CRM Strategy into a dynamic and impactful plan that enhances customer value and engagement throughout their lifecycle.
 
Your day to day will include:
 

Implementing the CRM strategy for Retail Games to boost customer value and engagement
Collaborating with Sales, Product, Loyalty, and Retail Experience teams to align on roadmap and plan
Reviewing and refining the Retail CRM plan for mass and targeted campaigns, recommending audience segments, reward value, mechanisms, and channels, and finalizing the plan for approval
Designing automated lifecycle journeys (welcome, upsell, cross-sell, retention & reactivation) and offering tailored promotions at each stage
Proposing CRM plans utilizing new reward mechanisms (real-time triggers & missions) and conducting A/B testing
Analyzing the cost/benefit of the monthly CRM plan, including communication and OPEX budgets, in relation to targets
Monitoring and presenting performance against KPIs providing insights and proposing automations 
Optimizing campaign management operations to reduce human error and increase efficiency, team capacity, and agility

 
What you need to succeed: 
 

BSc in Business Administration, Marketing, Mathematics, or other relevant field
6+ years of hands-on experience in a similar role within a fast-paced organization 
Understanding of sophisticated customer segmentation & experience on defining segmented campaigns
Ability to understand the CRM ecosystem and data infrastructure 
Knowledge of Salesforce Marketing Cloud or other CRM tools (Siebel CRM, Unica, Responsys, Optimove) is preferable
Team player with agility and adaptability 
Effective organizational and planning skills to deal with a variety of projects
People management skills
Business Acumen
Analytical skills with strong attention to detail 
Ability to work under pressure and deliver with high quality within strict timeframes
Strong communication and presentation skills both in Greek and English languages
Advanced MS Office skills, particularly in MS Excel 

What’s in it for you?

An award-winning working environment 🚀
State of the art facilities including gym & restaurant 🏢
Hybrid working model 💻
Competitive salary package and bonus scheme 💸
Health insurance coverage & Pension Plan 🙏
Monthly food allowance 🍴
Continuous learning with classroom/digital trainings by OpapAcademy 🎓
Internal Career Opportunities 💼
Well-Being Activities 💪

 
OPAP Group is an equal opportunity employer
 
Does this sound like you? If yes, we would love to meet you!",Senior,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168894
,"['http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f', 'http://data.europa.eu/esco/skill/2239694b-771a-4586-8b54-2794e361a9ae', 'http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74', 'http://data.europa.eu/esco/skill/b011c8b4-76e1-4bbc-8bb9-1d205e7b618a', 'http://data.europa.eu/esco/skill/c09bf6d4-f8a7-40f3-aead-ef01643f2352']","['http://data.europa.eu/esco/occupation/66fb9704-0d56-4673-8e69-7823816b73e1', 'http://data.europa.eu/esco/isco/C3322']",29,Network Development & Sales Manager,"What you will need to do:
The main duties of the position are sales, development, and customer management in Athens, Central Greece, Peloponnese, and Crete.
 
More specifically:

Clientele management and development
Building and managing strong customer relationships
Customer request management and order taking
Implementation of the company's commercial policy
Achieving set sales targets
Market and competition monitoring

 
What we're looking for:

A related degree in Business Administration or Marketing will be an advantage
Good knowledge of ERP & CRM systems (ideally Softone)
At least 2 years of experience in sales with a relevant product (food, pet supplies)
Driving license B- Category
Very good knowledge of the English language (oral and written)
Excellent communication and organizational skills
Customer-centric perception and approach
Decisiveness and initiative taking
Team spirit and consistency
Negotiation skills

 
Salary and benefits package:
Competitive salary package & bonus
 

👥 Recruitment stages include:
 
If this role interests you, please do not hesitate to apply directly. Our consultants will contact candidates who meet the above requirements to schedule an interview",Mid-level,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168881
,"['http://data.europa.eu/esco/skill/0bfb44c7-c412-49ed-aab4-e33d0dd3b265', 'http://data.europa.eu/esco/skill/2239694b-771a-4586-8b54-2794e361a9ae', 'http://data.europa.eu/esco/skill/450de541-797a-4da0-9fe4-a81471c8047d', 'http://data.europa.eu/esco/skill/6f8baa62-bc2b-4cc1-942b-f540c837cfa2', 'http://data.europa.eu/esco/skill/7935deb6-0bed-4e38-985e-1f83b8e16940', 'http://data.europa.eu/esco/skill/be20d05c-f6b4-4580-9fcf-f00f4baab562', 'http://data.europa.eu/esco/skill/c09bf6d4-f8a7-40f3-aead-ef01643f2352', 'http://data.europa.eu/esco/skill/de7b8c6c-9ed4-4776-924c-4265dd1d9cde', 'http://data.europa.eu/esco/skill/df5e3d02-9f0f-44ee-91c2-85c62f161868']","['http://data.europa.eu/esco/occupation/6a29d804-f775-446c-bec7-35fc4e28ac97', 'http://data.europa.eu/esco/occupation/6fcf4638-e7c7-4978-9302-9a7b63a3d57c', 'http://data.europa.eu/esco/occupation/a7594892-ff23-4e2a-aedf-2f967ebca15c', 'http://data.europa.eu/esco/occupation/c956be07-53a3-4b01-b8f8-f0c5a428eaa8', 'http://data.europa.eu/esco/isco/C2424', 'http://data.europa.eu/esco/isco/C522']",43,Junior Field Sales Representative,"Mellon Technologies, the parent company of Mellon Group of Companies, was founded in 1994 in Athens. Our offering consists of specialized technology solutions, contact centre and business process outsourcing services.
Mellon Technologies is seeking motivated and energetic Junior Field Sales Representatives to join our team.The primary responsibility of this role is to visit door-to-door retail merchants to promote payment acceptance solutions and services related to EFTPOS (Electronic Funds Transfer at Point Of Sale). This is an exciting opportunity to join a dynamic team and grow with a leading company in the financial services industry.
Key Responsibilities:

Conduct door-to-door sales visits to retail merchants within assigned territories
Promote and sell EFTPOS solutions to potential customers
Demonstrate product features and benefits to prospective clients
Build and maintain strong relationships with retail merchants
Achieve sales targets and KPIs set by the management
Provide excellent customer service and support to clients
Collect and report market feedback and sales data to the management team
Attend training sessions and sales meetings as required

Requirements:

High school diploma or equivalent; a bachelor’s degree in business, marketing, or a related field is a plus
Previous experience in sales, especially field sales or door-to-door sales, is preferred
Excellent communication and interpersonal skills
Strong negotiation and persuasion abilities
Self-motivated with a results-driven approach
Ability to work independently and as part of a team
Valid driver’s license

Benefits:

Competitive salary and commission structure
Multicultural and excellent working environment
Opportunities for career advancement",Entry / Junior,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168866
,"['http://data.europa.eu/esco/skill/378caeec-10a0-4162-b75c-ab374a42e93d', 'http://data.europa.eu/esco/skill/43dfbe7f-9e10-4871-b171-e5076737b4cf', 'http://data.europa.eu/esco/skill/ea4ebfa1-e17a-4416-ac54-955f33e6ade7']","['http://data.europa.eu/esco/occupation/586fe133-1987-41f4-b89a-f39d4bc58e1e', 'http://data.europa.eu/esco/occupation/c40a2919-48a9-40ea-b506-1f34f693496d', 'http://data.europa.eu/esco/occupation/dc97adbe-f807-4ad8-8f3c-c24b3416cdef']",76,Senior Full Stack Developer (PHP & JavaScript),"Plushost, an e-commerce agency with years of experience in building eshops and digital marketing, is looking for a Senior Full Stack Developer. 
 
Senior Full Stack Developer (PHP & JavaScript) 
Responsibilities:

Write well-designed, performant and testable code
Working closely with designers to create new e-shops
Maintaining current store portfolio
Implementing web development projects and tasks – front end modifications, but also the implementation of back end modules
Resolve application issues

Requirements:

Proven experience as a Full Stack Developer or similar role
Strong knowledge of PHP, JavaScript, CSS, MySQL
Understanding of RESTful APIs and experience in developing them
Knowledge and experience of CS-Cart will be considered a strong plus
Prior development of an e-shop will be preferred
Excellent problem-solving skills and attention to detail
A degree in Computer Science is a strong plus
Fluency in Greek and English (verbal and written)",Mid-level,Full-time,"Fournas, Greece",EL,,,,2024-09-09,kariera.gr,168834
,"['http://data.europa.eu/esco/skill/2aed5d29-15c3-44ba-bb5c-80750a815b3c', 'http://data.europa.eu/esco/skill/38509fa4-7c06-4a4b-9622-f521f03c37b8', 'http://data.europa.eu/esco/skill/79c2a4b6-1323-4a4e-b1e6-bcdfe075fcfd', 'http://data.europa.eu/esco/skill/966ade6d-9450-48f6-a955-83d4e9ad9ca3', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']","['http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/occupation/6fcf4638-e7c7-4978-9302-9a7b63a3d57c', 'http://data.europa.eu/esco/occupation/8ec6b513-3d44-4e94-b187-d55734a587a4', 'http://data.europa.eu/esco/isco/C3431']",78,Real Estate Transactions Executive,"Delfi Properties is currently looking to hire a dynamic individual for the position of Real Estate Transactions Executive to join our high performing team in Athens. 
Responsibilities: 

Liaise with property owners to collect information about new properties for sale including but not limited to layout, features, surface areas, photographs, etc.
Assist buyers in deciding on the property that best matches their needs.
Arrange and attend property viewings.
Maintain close communication with the sellers about their property and our progress.
Ensure that the Company’s CRM is updated, and information is sufficiently recorded.
Closely monitor the Sales Closing process and act as a liaison with all interested parties including but not limited to, mortgage brokers, surveyors, solicitors, etc. as needed.
Oversee and provide continuous support on the monetization of high value exposures and structured sales.
Assess sales offers and ensure that assets are disposed of in a timely and efficient manner.
Perform regular follow up with clients, buyers, sellers as applicable.
Remain informed on housing market trends and report to the Management.

Requirements: 

Bachelor’s degree in Real Estate, Business Administration, Marketing, or another related field.
Experience as a Real Estate Transactions Executive or in Sales will be considered an advantage.
Excellent command of the Greek and English languages, both verbal and written.
Proficiency in MS Office.
Ability to develop and implement effective real estate sales strategies. 
Strong interpersonal and communication skills.
Commercially oriented with a strong sales and business acumen.

An attractive remuneration package will be offered to the successful candidate according to qualifications and experience. 
If you are interested in the position, please submit your CV at careersgr@delfipartners.com and mention on the subject the reference DRERETE24. 
Each application will be treated with the strictest confidence. 
Please note that only shortlisted applicants will be contacted.",Mid-level,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168833
,"['http://data.europa.eu/esco/skill/263782c1-c65d-458a-ae67-8526ccf214f5', 'http://data.europa.eu/esco/skill/496932f1-0b6b-4f73-9432-d95c7ddcd43b', 'http://data.europa.eu/esco/skill/4d313147-b39d-413f-a5e2-b12d5f0dc9e6', 'http://data.europa.eu/esco/skill/65715f7a-c791-416b-b88a-2933a1c81647', 'http://data.europa.eu/esco/skill/677d5144-4c77-4f8d-afc7-116f4bc0e660', 'http://data.europa.eu/esco/skill/b3d9442d-1fb8-46cd-a947-154a42221f28', 'http://data.europa.eu/esco/skill/f5122357-c3f7-4f3e-b0cc-25173199d554']","['http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/occupation/7843a4c6-a9f6-4095-94b9-45b384d4bd57', 'http://data.europa.eu/esco/occupation/a2bc52c2-9802-4929-a95c-6379d9f19204', 'http://data.europa.eu/esco/isco/C1212']",88,HR Generalist,"In the team of kariera.gr | Hiring Solutions, we leverage our wealth of knowledge in staffing jobs covering all levels - mid-level and senior. We understand the diverse landscape of career opportunities and tailor our approach to meet your unique skills and aspirations.
In the team of kariera.gr | Hiring Solutions your every professional move is a step towards excellence. Choose us as the catalyst for your success, and let's plan your future together.
Kariera's Hiring Solutions team is looking for an HR Generalist on behalf of a client - a company active in the marketing and distribution of parapharmaceutical products and health food items. 
Key Responsibilities:

Preparation and issuance of payroll for the company's employees
Participating in the process of recruiting new employees, including creating job descriptions, interviews and financial offers
Management of staff hiring and leaving processes
Creation of organizational chart and job description for all staff
Use of the ERGANI system for personnel changes, licenses and digital card
Liaising with mobile service providers and leasing companies to process employee benefits agreements
Organization of the corporate trips of the company's sellers 
Organization of seminars and corporate events 

Required Qualifications:

3-5 years of previous experience in a similar role
University/Tei Degree in Business Administration, HR or Finance 
Excellent knowledge ERGANI
Familiarity with the recruitment process
Very good knowledge of English
Developed communication skills
Organizational skills

 
 #hiringsolutionsisrecruiting",Mid-level,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168807
,"['http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7', 'http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137', 'http://data.europa.eu/esco/skill/477579e7-e0ca-4cc5-8712-17b78d0d8d2a', 'http://data.europa.eu/esco/skill/cf310cff-0d28-4dbc-9dbb-cc500a3196c2', 'http://data.europa.eu/esco/skill/e37d64dc-0f05-4ee8-b065-bf76f70d8f5c']","['http://data.europa.eu/esco/occupation/040fcfa5-24be-43eb-afd5-828297175b16', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/occupation/7819669b-30c2-42e6-a1c4-0bcd6f0379ff', 'http://data.europa.eu/esco/isco/C3322', 'http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344']",90,Office Clerk,"In the team of kariera.gr | Hiring Solutions, we leverage our wealth of knowledge in staffing jobs covering all levels - mid-level and senior. We understand the diverse landscape of career opportunities and tailor our approach to meet your unique skills and aspirations.
In the team of kariera.gr | Hiring Solutions your every professional move is a step towards excellence. Choose us as the catalyst for your success, and let's plan your future together.
The Kariera Hiring Solutions team is looking for an Assistant Accountant on behalf of a client company active in the field of marketing and distribution of parapharmaceutical products and health food items.
Key Responsibilities:

Entry of sales documents, orders, purchase documents (imports), receipts (cash & checks)
Knowledge and experience in Commercial Company Sales Pricing
Use of ERP software programs (SOFTONE & ENTERSOFT)
Warehouse and import chain management
Elaboration of financial reporting
Communication and cooperation with members of the Administration 
Confidentiality, integrity and the ability to build and maintain trusting relationships

Required Qualifications:

University/Tei Degree in Business Administration or Finance
3-5 years of experience in the Financial Department of a company
Very good knowledge and experience of ERP software programs (SOFTONE & ENTERSOFT)
Excellent knowledge of PC and MS Office
Good knowledge of the English language
Communication & organizational skills and perception
Analytical thinking and team spirit

The company offers: 

Competitive remuneration package
Respectful and dynamic work environment
Continuous training and development

 
 #hiringsolutionsisrecruiting",Mid-level,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168806
,"['http://data.europa.eu/esco/skill/055192dc-f16c-4855-835d-19cac6ff20aa', 'http://data.europa.eu/esco/skill/19a64e91-bfe3-4c48-9225-3bb1229b12f0', 'http://data.europa.eu/esco/skill/1c460d2d-90c6-4fc9-ad49-febb6e15605a', 'http://data.europa.eu/esco/skill/20e7c937-a5e5-4a27-bb87-ddda5826f777', 'http://data.europa.eu/esco/skill/7049ac98-0368-4bb2-84d4-5366d1c0f2ac', 'http://data.europa.eu/esco/skill/7629db63-5922-42fa-8c80-9575526f7326', 'http://data.europa.eu/esco/skill/a4bbd0d9-a6be-4472-b05d-291e60cf6b4b']","['http://data.europa.eu/esco/occupation/e2a495fb-68a3-46f9-8753-6ce566a7a085', 'http://data.europa.eu/esco/isco/C1120', 'http://data.europa.eu/esco/isco/C213']",120,Business Development Director - In Licensing and Corporate Alliances,"DEMO SA is currently looking for a high-performing Business Development Director – In Licensing and Corporate Alliances. This position is based in Athens, Kryoneri. This role reports directly to Deputy CEO.  Main Responsibilities Responsible for managing and expanding company’s corporate alliances, ensuring that partnerships are mutually beneficial and drive value for all stakeholders. Identify and assess potential in-licensing and in-distribution opportunities that align with the company’s strategic goal and outcomes of landscape analysis. Conduct competitive analysis to identify trends, opportunities, and risks related to in-licensing and alliances. Work closely with internal teams including RA, Quality, PV, R&D, Finance, , Legal, Market access, Finance, and Purchasing to ensure seamless integration of licensed / distribution assets and successful partnership execution. Lead the cross functional assessment of the proposed products that includes commercial opportunity, competition landscape, patent reviews, forecast analysis, regulatory and pricing strategy Lead, steer and support complex licensing and contract negotiations with preferred partners Generate and present the business development case proposal (financial and technical analysis) to the management team Oversee and guide team on the entire process of evaluation of the opportunity through the respective approval process and governance bodies Requirements Sales and Marketing working experience in Pharmaceutical Products.   At least 3-4 years of experience in a similar job position in the pharmaceutical industry with knowledge of the Corporate market in terms of products and suppliers is highly desirable Good commercial understanding with experience in negotiations Excellent knowledge of MS Office Excellent verbal and written communication in Greek and English Strong leadership skills Strong organizational and presentation skills Self-motivation with ability to embrace new challenges Strong analytical and influencing skills Bachelor’s degreein Life Sciences; MBA or MSc in Finance will be considered as a plus BenefitsThe company offers competitive remuneration, continuous learning and development opportunities, and a friendly and challenging working environment.",C-level / Executive,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168768
,"['http://data.europa.eu/esco/skill/450de541-797a-4da0-9fe4-a81471c8047d', 'http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0', 'http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74', 'http://data.europa.eu/esco/skill/b99aa3b8-0066-46b2-a027-30afae444ad8', 'http://data.europa.eu/esco/skill/e5635e02-2d34-4a8c-b8ca-556d45e9b20e', 'http://data.europa.eu/esco/skill/ed3f3dba-3a35-4ed5-b113-67f4d10ef4c8', 'http://data.europa.eu/esco/skill/f266380e-9830-44db-8f93-60a6e8b9a1b6']","['http://data.europa.eu/esco/occupation/1f305576-f57c-42c7-a139-728c72393cd4', 'http://data.europa.eu/esco/occupation/6fcf4638-e7c7-4978-9302-9a7b63a3d57c', 'http://data.europa.eu/esco/occupation/8cb59bc4-1f39-477e-beea-effed12d186c', 'http://data.europa.eu/esco/isco/C2433', 'http://data.europa.eu/esco/isco/C7222', 'http://data.europa.eu/esco/isco/C251']",129,FOREIGN SELLER,"KARADIMAS ATHANASIOS E.E., which is active in the Greek market with a rapidly growing sales network, develops, markets and distributes the strongest brands of industrial tools and paint store items.
The company aims to become one of the protagonists in the field of tools in the Greek market and is looking to hire
Wholesaler based in Athens
Position Description:
The suitable person will be responsible for the development of sales and distribution of the company's products, the recognition and exploitation of opportunities in his area of ​​responsibility for his further development. Ensuring the continuous and sufficient flow of information to and from the market, the achievement of the target and the profitability of the company's products through the implementation of the marketing and sales strategy.
Necessary qualifications:
At least five (5) years of experience in an organized and demanding sales environment / experience in the industry of industrial goods and paint shop goods will be preferred
Deree degree / higher or higher economic or technical school will be appreciated
Good computer skills (Windows, Office)
Holder of amateur driver's license
Excellent communication and negotiation skills
Methodology and organizational skills
Result Orientation
Ability to solve problems, flexibility and teamwork
Ability to collect, analyze and summarize data
Ability to travel and spend the night away from home 40% of the time
Hobby dealing with computers, technology and Do It Yourself
Aged 25-45 years
Male candidates must have fulfilled military obligations
Desired qualifications:
Master's degree
Knowledge of English language
The company offers:
Excellent remuneration depending on qualifications and experience
Access to extra high bonuses
Excellent working environment
Development prospects in a rapidly growing company
Continuous education
www.karadimas-tools.gr
Send CV only from those who have exactly the required qualifications.",Mid-level,Full-time,"Agios Ioannis Rentis, Greece",EL,,,,2024-09-09,kariera.gr,168754
,"['http://data.europa.eu/esco/skill/089ee650-297e-4716-87d1-440743b70a0d', 'http://data.europa.eu/esco/skill/649b00ec-a70d-4b3a-ae2e-5662964b0fb8', 'http://data.europa.eu/esco/skill/7c632656-361e-4db1-8d69-b9f85d6be0d0', 'http://data.europa.eu/esco/skill/3e4cdaee-740c-4754-9135-466362bbd22e']","['http://data.europa.eu/esco/occupation/24119471-6ca1-465b-8f48-b2aec5c60869', 'http://data.europa.eu/esco/occupation/822bbc2d-bc6a-4fb5-afb8-89170120c6d8', 'http://data.europa.eu/esco/occupation/83de6811-975d-4f7c-b81e-604c0c17e800', 'http://data.europa.eu/esco/occupation/f31e25d0-8794-4f88-ac07-a229199c6f0f', 'http://data.europa.eu/esco/isco/C2133']",145,MECHANICAL MAINTENANCE TECHNICIAN,"ANOXAL is a subsidiary company of the ElvalHalcor Group, specifically in the field that specializes in the production, processing and marketing of aluminum products with a dynamic presence in the domestic and global market.
ANOXAL's modern recycling unit and foundry offer innovative solutions and technology for new alloys. The facilities are located in Oinophyta (Ag. Thomas Boiotias) and include a unit for sorting, processing and recycling aluminum scrap as well as a casting unit, descaling, melting, waiting and homogenizing furnaces.
The safety of our people is our highest priority. We aim for zero accidents and zero environmental incidents every year and are committed to complying with environmental regulations and procedures.
We are looking for a person to join our team for the position of Mechanical Maintenance Technician, who will contribute to the repair and maintenance of the factory's mechanical equipment. This role includes the detection and resolution of problems in the operation of the machines, their regular maintenance and also the maintenance of the building infrastructure at the highest possible degree of functionality.
Responsibilities:

Carrying out repair and maintenance of the mechanical equipment of the industrial plant and buildings
Execution of regular maintenance plan
Mechanical installation of new projects and mechanical equipment
Update the shift maintenance book

Required Qualifications:

Degree in Engineering (IEK/EPAL/TEI)
1-3 years of work experience in mechanical equipment maintenance in an industrial environment
Knowledge of mechanical drawing reading desired
Ability to perform diagnostic analysis and problem solving
Ability to work in shifts
Excellent communication skills/team spirit

 
Amenities:

Competitive salary packages, insurance and other benefits
Possibility of travel by company buses from Attica, Boeotia and Evia
Safe and friendly work environment
Continuous education

Interested parties are requested to send their CV to hr@anoxal.gr.",Mid-level,Full-time,"Oinofyta, Greece",EL,,,,2024-09-09,kariera.gr,168734
