organization,skills,occupations,id,title,description,experience_level,type,location,location_code,nuts1,nuts2,nuts3,upload_date,source,source_id
,"['http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f', 'http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1', 'http://data.europa.eu/esco/skill/1a6c7e0d-fc13-41d7-a5c0-8ca00606de89', 'http://data.europa.eu/esco/skill/49de9958-2aa4-4eef-a89d-fe5d5bcd28c4', 'http://data.europa.eu/esco/skill/68698869-c13c-4563-adc7-118b7644f45d', 'http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0', 'http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3', 'http://data.europa.eu/esco/skill/f642d7ed-e8d7-4355-a747-b85094d4e2e3']","['http://data.europa.eu/esco/occupation/4c6b3657-316e-43b5-872a-ea763411190d', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/occupation/cbde1a3a-406d-4d17-b30b-03981925035d', 'http://data.europa.eu/esco/isco/C243', 'http://data.europa.eu/esco/isco/C44']",4,PPC Energy Consultant new Franchise store in N. Eritrea,"Nea Erythraia branch
The world of energy is constantly growing and evolving. PPC is looking for its franchise store in N. Eritrea, people with appetite and positive energy, who wish to take their career forward. With team spirit, trust and empathy, we take care of creating a workplace with equal opportunities and respect for everyone. Although you are interested in your personal and professional development in a modern environment with a pleasant climate and favorable benefits, we invite you to apply for the position of Sales Consultant in an energy store in the Nea Erythraia area
Role Responsibilities:

Reception and investigation of customer needs.
Promotion of energy products and services that are part of the company's commercial activity
Providing advice on energy solutions
Management of requests, in the context of excellent customer service
Maintaining the correct image of the store area

Candidate Requirements:

High school diploma or higher
Knowledge of the English language
Familiarity with Microsoft Office programs (excel, word, powerpoint) and

Employee Skills:

Communication skills
Customer-centric concept
Passion and self-motivation
Team spirit of cooperation
Initiative and problem solving
Adaptability
Responsibility and result orientation

Employer Benefits:

Competitive remuneration package
Continuous education
Flexible working hours
Pleasant working environment.
Bonus performance based on target setting plan

Find your position in the most dynamically developing energy sector and send your CV.  
Your future is here!",Entry / Junior,Full-time / Part-time,"Nea Erythraia, Greece",EL,,,,2024-09-09,kariera.gr,168912
,"['http://data.europa.eu/esco/skill/0da516ee-e70e-4384-be13-f5ff80be8127', 'http://data.europa.eu/esco/skill/1835a7c1-600e-4b16-a0af-fb4f7d8d77b9', 'http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869', 'http://data.europa.eu/esco/skill/68698869-c13c-4563-adc7-118b7644f45d', 'http://data.europa.eu/esco/skill/6d97bf55-6fb6-4795-8282-3ef915ae0bb8', 'http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74', 'http://data.europa.eu/esco/skill/a8d24a95-47b3-4f88-92e7-06600bcd3612']","['http://data.europa.eu/esco/occupation/068370e0-9c27-4814-87d0-44fbb3140815', 'http://data.europa.eu/esco/isco/C2']",18,VODAFONE Family Advisor,"At Vodafone we encourage the personal and professional development of our people, offering an environment that combines innovation with a human approach. We respect diversity and believe in the power of new ideas, constantly investing in education and skills development. We are a great team that seeks to make a difference for our customers and our community. We are looking for a Family Advisor to join our team, helping to expand our residential clientele and offering the best possible service to our clients.
 
Position description

Daily communication with new and existing customers in their area
Scheduling meeting with potential new and existing clients
Evaluation and recording of the current services of the prospective clientele
Investigating customer needs and quoting the most ideal solutions based on each customer's profile
Guidance and training of prospective clients in new technologies

Necessary qualifications:

High school graduate (preferred IEK, TEI, HEI)
Excellent communication and negotiation skills
Team spirit
Flexibility, organization and proper time management
Experience in sales will be an added advantage

Amenities:

Competitive remuneration package
Monthly goal achievement bonus
Continuous training and support on new products and technologies
Training and development of personal skills
Digital tools (professional tablet & mobile)
Privileges-discounts on the organization's services
Possibility of professional development within the organization
Recruitment will be through a partner.",Entry / Junior,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168891
,"['http://data.europa.eu/esco/skill/677d5144-4c77-4f8d-afc7-116f4bc0e660', 'http://data.europa.eu/esco/skill/7bb5d9af-0a7e-48a7-a860-0e1ded0f6e75', 'http://data.europa.eu/esco/skill/a472a200-d895-40ca-95e7-5c5495e3dd7c', 'http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3', 'http://data.europa.eu/esco/skill/dcace5e5-9b8d-4fac-9017-6dcd7ff8cd0e']","['http://data.europa.eu/esco/occupation/13d1b2b4-99dd-44da-9734-c9f74bae18f7', 'http://data.europa.eu/esco/occupation/a3ef0728-7540-4676-ad18-cf0a7913b3ce', 'http://data.europa.eu/esco/occupation/ceda53cd-3f1f-425b-bd1b-c4fa17254680']",22,Customer Contact Agent,"O/H holder of this position will have the responsibility to communicate daily with customers with the aim of processing the required customs procedures (charges, necessary customs documents, etc.) as well as promoting the offered services of the company. He will also communicate by e-mail or telephone with our offices abroad regarding problems or questions arising with the Imports of the customers.
 
Required Qualifications:

Very good knowledge of the English language
Very good computer skills (Word, Excel & Outlook)
At least 2 years of experience in a customer service department 

Desired Qualifications:

University/Technical Degree

Essential characteristics required for the position:

Freedom of speech in communication (telephone and written)
Team spirit of cooperation
Organizational skills
Orientation towards achieving goals
Customer-centric approach
Experience in customer service

 
Allowances

Competitive salary
Private Health Insurance
Pension Plan
Continuous education
Feeding arrangements in addition to salary

 
Are you ready to discover the world of courier services with DHL Express?  If yes, then we look forward to receiving your application! 📑
Become a member of the company with the best working environment in Greece – Great Place to Work® for 8 consecutive years, since 2016!",Entry / Junior,Full-time,"Paiania, Greece",EL,,,,2024-09-09,kariera.gr,168892
,"['http://data.europa.eu/esco/skill/082967d4-b94c-4305-aa13-35a6aa8c5c7c', 'http://data.europa.eu/esco/skill/1973c966-f236-40c9-b2d4-5d71a89019be', 'http://data.europa.eu/esco/skill/234aeb8d-56c3-4531-9193-1c5e6a8d16cb', 'http://data.europa.eu/esco/skill/6c80d53c-d8c9-41fe-998f-091fca208834', 'http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca', 'http://data.europa.eu/esco/skill/ea4ebfa1-e17a-4416-ac54-955f33e6ade7', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']",['http://data.europa.eu/esco/isco/C251'],25,Office Coordinator – Code Position R2024,"You will deal with:

Management of electronic learning platform (LMS) and its users
Organization, preparation and coordination of educational programs
Data entry in the company's CRM & reporting
Technical support of virtual trainings 

Necessary qualifications

Degree of HEI-TEI
1-3  years of experience in secretarial support
Excellent computer skills (MS Office) and especially the use of spreadsheets (Excel) and professional presentations (Power point)
Familiarity with online collaboration platforms (MS Teams, Webex) is desirable
Excellent knowledge and use of the Greek and English languages ​​(written and spoken)
Knowledge of CRM management (Salesforce) desired

We expect you to show through your work:

Customer-centric behavior aimed at providing quality services
Ability to meet schedules with quality and reliable output
Focus and initiative in managing problems or changes in a timely manner
Mood for cooperation and teamwork

We offer you:

competitive salary, depending on your experience and qualifications
productivity bonus
medical care etc.

You can send your CV to jobs@response.gr by writing in the Subject: R2024
Our team looks forward to meeting you!",Entry / Junior,Full-time,"Marousi, Greece",EL,,,,2024-09-09,kariera.gr,168887
,"['http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7', 'http://data.europa.eu/esco/skill/5f2efbdf-08a2-49cd-9c06-bd284e4f0fbf', 'http://data.europa.eu/esco/skill/6bf6b5bd-6658-4338-b0ee-dc143e68e6d3', 'http://data.europa.eu/esco/skill/d669af41-756c-48d9-a286-1443253f54b1', 'http://data.europa.eu/esco/skill/f0393af3-bcd9-41af-a36e-0cfb83b60081']",['http://data.europa.eu/esco/occupation/026401a9-7d56-4d7b-8052-38985ddbeafa'],26,ACCOUNTING OFFICER/ASSISTANT ACCOUNTANT,"ARKADIKI MELISSOCOMIA ABEE, one of the largest companies in the field of beekeeping, is interested in hiring a full-time Accounting Clerk/Assistant Accountant/Accountant with the following qualifications:
Responsibilities:

Control, categorization and registration of Purchases, Imports, Fixed Assets, Expenses and other documents in a commercial program (GALAXY SINGULARLOGIC)
Agreement of customer - supplier records
Check My Data - Provider epsilon net 
Participation in the issuance - submission of VAT-VIES-INTRASTAT declarations
Updating of diploma books
Support monthly closing and financial results tasks

Necessary qualifications:

Graduated from AEI TEI in Financial Accounting
At least 5 years of experience in an organized accounting office
Excellent knowledge of ELP and tax legislation
Experience in computerized record keeping
Excellent use of PC (Ms Office) and erp systems 
Excellent knowledge of the English language
Good organizational skills
Professional behavior
Ease of communication
Experience in GALAXY software will be considered

What we offer:
• Pleasant working environment • Development and growth prospects • Possibility of continuous training • Competitive remuneration package depending on qualifications
 
Please send the resumes to the email hr@arkmel.gr with the reference ΙΛ924
All resumes will be strictly confidential. Only eligible nominations will be responded to.",Mid-level,Full-time,"Mandra, Greece",EL,,,,2024-09-09,kariera.gr,168884
,"['http://data.europa.eu/esco/skill/2b1ce548-4e16-45fb-bfb2-f3141c8efe8d', 'http://data.europa.eu/esco/skill/3a585818-03f1-434c-b41b-9d3c4ceedfaa']","['http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/occupation/dd25a2b0-add0-4ae2-bd85-bb644e0d0c39']",28,Contact Center Specialist | Part Time (Afternoon Hours - Fixed Term Contract),"#eimaste_mesa to the best to design your own professional experience together!
 #eisai_mesa to work in a team where you will constantly develop your knowledge? Are you looking for a company where you can take initiative, take risks and have autonomy?
 LEROY MERLIN is a member of the French Adeo Group (900 stores and 150,000 Leaders partners in 13 countries worldwide), which holds the 1st position in Europe and the 3rd worldwide in the DIY ""Do it yourself"" market.
Our Mission is to build a better and sustainable life at ""home"" for everyone!
 We are currently looking for:
 
 
""Contact Center specialist - 4-hour work (afternoon)""
 Your routine:

You ensure the reliable and efficient management of the call center (incoming calls) by applying the procedures and IT systems with the aim of customer satisfaction.
You contribute to customer service with the quality of telephone reception, orientate the customer, provide information-advice, guidance.
You recommend the products/services or solutions that best meet the customer's needs and carry out a comprehensive telephone sale.
You collaborate on a daily basis with all departments/stores/headquarters ensuring the smooth processing of all tasks (orders, deliveries).
You ensure the resolution of customer requests/comments/complaints that arise multi-channel with the same approach (omni-channel).

 
It will be the perfect combination if you have:

AEI/TEI degree.
Previous experience in a Telephone Service department or retail store.
Good command of English
Good computer knowledge, Microsoft office (excel, word, P.Point)
Good computer knowledge and contact with new technologies
Team spirit and comfort in professional relationships
Flexibility and ability to manage problems
Communication skills and customer orientation
Ability to plan and organize.

 
We offer:

Excellent & safe work environment
Ongoing opportunities for training
Attractive salary package
Additional medical care
Corporate discounts

 #eisai_mesa for an exciting new career?
Take the next step and join our team!",No experience / No degree,Part-time,"Marousi, Greece",EL,,,,2024-09-09,kariera.gr,168885
,"['http://data.europa.eu/esco/skill/2b1ce548-4e16-45fb-bfb2-f3141c8efe8d', 'http://data.europa.eu/esco/skill/3a585818-03f1-434c-b41b-9d3c4ceedfaa']","['http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/occupation/dd25a2b0-add0-4ae2-bd85-bb644e0d0c39']",30,Contact Center specialist – 6 hour employment,"#eimaste_mesa to the best to design your own professional experience together!
 #eisai_mesa to work in a team where you will constantly develop your knowledge? Are you looking for a company where you can take initiative, take risks and have autonomy?
 LEROY MERLIN is a member of the French Adeo Group (900 stores and 150,000 Leaders partners in 13 countries worldwide), which holds the 1st position in Europe and the 3rd worldwide in the DIY ""Do it yourself"" market.
Our Mission is to build a better and sustainable life at ""home"" for everyone!
 We are currently looking for:
 
 
""Contact Center specialist - 6-hour employment""
 Your routine:

You ensure the reliable and efficient management of the call center (incoming calls) by applying the procedures and IT systems with the aim of customer satisfaction.
You contribute to customer service with the quality of telephone reception, orientate the customer, provide information-advice, guidance.
You recommend the products/services or solutions that best meet the customer's needs and carry out a comprehensive telephone sale.
You collaborate on a daily basis with all departments/stores/headquarters ensuring the smooth processing of all tasks (orders, deliveries).
You ensure the resolution of customer requests/comments/complaints that arise multi-channel with the same approach (omni-channel).

 
It will be the perfect combination if you have:

AEI/TEI degree.
Previous experience in a Telephone Service department or retail store.
Good command of English
Good computer knowledge, Microsoft office (excel, word, P.Point)
Good computer knowledge and contact with new technologies
Team spirit and comfort in professional relationships
Flexibility and ability to manage problems
Communication skills and customer orientation
Ability to plan and organize.

 
We offer:

Excellent & safe work environment
Ongoing opportunities for training
Attractive salary package
Additional medical care
Corporate discounts

 #eisai_mesa for an exciting new career?
Take the next step and join our team!",No experience / No degree,Part-time,"Marousi, Greece",EL,,,,2024-09-09,kariera.gr,168883
,"['http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f', 'http://data.europa.eu/esco/skill/0b144726-21c2-46ed-8d13-c03d27f61604', 'http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1', 'http://data.europa.eu/esco/skill/35f1dcdc-577f-46c6-96d9-6c7a64501de9', 'http://data.europa.eu/esco/skill/49de9958-2aa4-4eef-a89d-fe5d5bcd28c4', 'http://data.europa.eu/esco/skill/677d5144-4c77-4f8d-afc7-116f4bc0e660', 'http://data.europa.eu/esco/skill/6f9ac146-8bbd-4b9d-9514-d85586caf17a', 'http://data.europa.eu/esco/skill/c09c5786-a479-46de-b0aa-d5d2d8ccc123', 'http://data.europa.eu/esco/skill/ed1fbdc3-1071-423c-9bb4-e3288ca6d1fe', 'http://data.europa.eu/esco/skill/fe1ec582-d63b-466c-9149-e7fc4fe93e22']","['http://data.europa.eu/esco/occupation/13d1b2b4-99dd-44da-9734-c9f74bae18f7', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/occupation/725090a7-9943-4dae-8079-a6999d21ddba', 'http://data.europa.eu/esco/isco/C251']",36,Customer Service and Sales Support Manager - CSR,"Polysystems I.K.E. is an import and distribution company of chemical raw materials and adhesive materials. With stable collaborations with large foreign houses, for more than 30 years it has available on the Greek market, polyurethane systems, equipment and auxiliary materials, which address a wide range of Greek industry.
 
Role Description

Manage customer and supplier orders.


Import circuit monitoring.
Communication with internal and external suppliers.
Daily communication with the individual departments of the Company for the smooth. processing the tasks.
Seller support.

 
Candidate profile

Experience of at least three years in a similar position.
Higher education degree preferred.


Very good computer skills (Windows, Outlook, Word, Excel, PowerPoint, Internet)
Excellent knowledge of the English language at a written and oral level.
 Diligence, developed cooperation and communication skills.
Responsibility, quality service philosophy and initiative.
Organizational skills, methodical and ability to handle many tasks simultaneously
Ability to work under pressure, adaptability and flexibility
Completed military service (for male applicants)
Experience in using an ERP system will be an added advantage
car owner will be considered an additional qualification

Amenities:

Five days full time
Fixed monthly income
Development prospects",Mid-level,Full-time,"Metamorfosi, Greece",EL,,,,2024-09-09,kariera.gr,168863
,"['http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f', 'http://data.europa.eu/esco/skill/42cb7669-c371-4903-9c0b-13db67b2e4bb', 'http://data.europa.eu/esco/skill/60b44dab-03f1-46de-be08-0e5ba8662b3d', 'http://data.europa.eu/esco/skill/78d90f00-5226-44fc-95c2-0d8dac6b081b', 'http://data.europa.eu/esco/skill/adc6dc11-3376-467b-96c5-9b0a21edc869', 'http://data.europa.eu/esco/skill/cf310cff-0d28-4dbc-9dbb-cc500a3196c2', 'http://data.europa.eu/esco/skill/df5e3d02-9f0f-44ee-91c2-85c62f161868', 'http://data.europa.eu/esco/skill/f5122357-c3f7-4f3e-b0cc-25173199d554']","['http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95', 'http://data.europa.eu/esco/occupation/13d1b2b4-99dd-44da-9734-c9f74bae18f7', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/occupation/f4b4fb1d-0224-4e6b-b7c9-84bcf133be00']",37,Sales Consultant in a franchise store GERMANOS - Attica,"Are you interested in joining a dynamic team and working to provide a high level of customer service and promote technology products/services?
 
Do you have the following qualifications?

Good knowledge of PC and MS Office
Good command of the English language
Developed communication skills
Customer service orientation
Focus on achieving results based on goals
Team spirit
Ability to take initiative and solve problems
Completed military service (male applicants)
Possibility to work based on working days and hours in commercial stores
You are a high school graduate

 
Desired qualifications:
Knowledge of technology and telecommunications products
At least 1 year of experience in a similar position
Post-secondary or higher education degree
 
We offer: 

Bonus based on achievement of goals
Discount programs for telecommunications products 
Modern and pleasant working environment
Continuous training in sales and new technologies
Development prospects 

 
Start your career in the ""heart of technology""!",Mid-level,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168870
,"['http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']","['http://data.europa.eu/esco/occupation/0b15375e-dfdd-4047-9efb-096e0aaee7d2', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/isco/C11']",38,E-Shop Assistant - PAIANIA,"The company Allforbabies.gr is looking for an e-shop/customer care employee at their offices in Peania. The duration of the contract is indefinite.
Main Duties:

Daily management of internet orders
Monitoring and coordination of orders in collaboration with the logistic center.
Customer service (phone, email, social media)
Data entry – new products (technical characteristics, photos)
Continuous updating of the site with current products and offers.

Qualifications:

College or university degree
Knowledge of MS Office
Communication and organizational skills, team spirit
Good use of English language

Will be appreciated:

Experience in e-commerce
Knowledge of Softone program",Mid-level,Full-time,"Paiania, Greece",EL,,,,2024-09-09,kariera.gr,168784
