organization,skills,occupations,id,title,description,experience_level,type,location,location_code,nuts1,nuts2,nuts3,upload_date,source,source_id
,['http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b'],"['http://data.europa.eu/esco/occupation/bfe142b9-a049-4d41-89c4-fd2f34ac56b6', 'http://data.europa.eu/esco/isco/C3313']",11,Accounting Assistant,Versus Travel is looking for an Accounting Assistant. Necessary corresponding long experience in an outgoing tourist agency and knowledge of Travel Force.,Senior,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168903
,"['http://data.europa.eu/esco/skill/585ed991-fdab-4f3c-9187-a32bfb7ab822', 'http://data.europa.eu/esco/skill/91abe492-18be-4cce-93c7-0dca07072363', 'http://data.europa.eu/esco/skill/c5bc42be-4970-4dce-80e2-af78bae42e84', 'http://data.europa.eu/esco/skill/d669af41-756c-48d9-a286-1443253f54b1', 'http://data.europa.eu/esco/skill/e37d64dc-0f05-4ee8-b065-bf76f70d8f5c', 'http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b']","['http://data.europa.eu/esco/occupation/c3aae59e-1441-4b3e-bdd1-6da50dc7cf42', 'http://data.europa.eu/esco/isco/C3313']",27,ASSISTANT ACCOUNTANT,"Key Responsibilities:

Registration, maintenance and updating of accounting books.
Registration and reconciliation of bank transactions.
Balance sheet preparation and account reconciliation.

Prerequisites:

University/Technical Degree
Three years' experience
Good knowledge of accounting and tax legislation
Knowledge of the SOFTONE program is desirable

 
Necessary skills:

Confidentiality and confidentiality.
Ability to meet deadlines.
Organization and concentration.
Operation under pressure.

The company offers:

Satisfactory remuneration package.
Development and professional development opportunities.
Excellent working conditions.",Mid-level,Full-time,"Pallini, Greece",EL,,,,2024-09-09,kariera.gr,168877
,"['http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']","['http://data.europa.eu/esco/occupation/0b15375e-dfdd-4047-9efb-096e0aaee7d2', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/isco/C11']",38,E-Shop Assistant - PAIANIA,"The company Allforbabies.gr is looking for an e-shop/customer care employee at their offices in Peania. The duration of the contract is indefinite.
Main Duties:

Daily management of internet orders
Monitoring and coordination of orders in collaboration with the logistic center.
Customer service (phone, email, social media)
Data entry – new products (technical characteristics, photos)
Continuous updating of the site with current products and offers.

Qualifications:

College or university degree
Knowledge of MS Office
Communication and organizational skills, team spirit
Good use of English language

Will be appreciated:

Experience in e-commerce
Knowledge of Softone program",Mid-level,Full-time,"Paiania, Greece",EL,,,,2024-09-09,kariera.gr,168784
,"['http://data.europa.eu/esco/skill/048f04c9-83b1-48cd-9ac9-16a433695a61', 'http://data.europa.eu/esco/skill/114a79ef-1e62-475b-a862-954f5b4cca20', 'http://data.europa.eu/esco/skill/1973c966-f236-40c9-b2d4-5d71a89019be', 'http://data.europa.eu/esco/skill/234aeb8d-56c3-4531-9193-1c5e6a8d16cb', 'http://data.europa.eu/esco/skill/382ed835-8958-4d86-8471-cff55c6df3e7', 'http://data.europa.eu/esco/skill/477579e7-e0ca-4cc5-8712-17b78d0d8d2a', 'http://data.europa.eu/esco/skill/4e097377-7950-4993-9e22-a61b067b5c00', 'http://data.europa.eu/esco/skill/5dcd44e3-0d01-43af-8c6f-3d19f99d50a7', 'http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d', 'http://data.europa.eu/esco/skill/c2a0c52c-0b4b-4180-a918-92650ea3b458', 'http://data.europa.eu/esco/skill/d62d2b4c-a6f8-439e-8a1b-4f29ab5f2c47', 'http://data.europa.eu/esco/skill/e2d44a9b-f28c-489e-9861-b654b5ded507', 'http://data.europa.eu/esco/skill/f4a6e9f7-5cff-46c0-894c-59c20bb78694', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535']","['http://data.europa.eu/esco/occupation/139fba7b-6c1f-40ee-8acf-78f97e57c905', 'http://data.europa.eu/esco/occupation/2082e125-d06b-43e6-957f-b7aa3c48dc2f', 'http://data.europa.eu/esco/occupation/2a04a1df-a3b9-403e-a245-e7f93fdddd44', 'http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/isco/C121', 'http://data.europa.eu/esco/isco/C334']",55,Executive Assistant,"SABO is a Greek manufacturing company, based in Vassiliko, Evia, Greece, with subsidiaries in Brazil, Romania and Italy and we operate in more than 50 countries. For 40 years we have supported our customers’ growth by providing turnkey and integrated solutions in the fields of heavy clay, industrial solutions, solid waste management, power and automation, heavy industry and shipping.
Our successful operation is based on the technical know-how, innovative mindset and collaboration spirit of our team who is committed to making a global impact.
This highly motivated team needs to be strengthened by an Executive Assistant.
Your role in more detail:
As Executive Assistant, you will:

Coordinate and manage our CEOs’ personal calendar, including scheduling appointments, events, and personal commitments, managing shared folders and sending invitations
Perform general administrative tasks (e.g., taking detailed notes, preparing meeting materials, preparing, and submitting expense reports) and special projects
Arrange travel accommodations, transportation, and itineraries for trips
Prepare and modify documents, including correspondence, reports, presentations, spreadsheets, memos and emails
Act as the point of contact among executives, employees, clients and other external partners
Collaborate with other departments to follow up and facilitate cross-functional projects and decisions
Oversee general office operations to ensure a well-maintained and efficient working environment

Your Qualifications:

BSc in Business Administration, Communications, Social Sciences, or related field
More than 3 years of working experience as an Executive Assistant or in a similar administrative role, ideally within an industrial environment
Familiarity with calendar management and travel coordination for executives
Very good knowledge of MS Office, especially Excel and PowerPoint
Fluency in both English and Greek (oral and written at professional corporate level)
Proven ability to handle confidential information with discretion
Strong organizational and time management skills
Ability to adapt quickly to changing priorities and situations

Your Benefits:

The opportunity to gain global experience and work with a highly motivated team
A motivating and engaging work environment
Continuous learning and career development opportunities
Competitive compensation package
Private life & health insurance

 
With DEI in mind
Diversity, equity, and inclusion are a priority for us! SABO ensures a safe and balanced working environment, based on respect by providing an equal number of opportunities to every employee who meets the necessary requirements.
 
Here @SABO, we care for your privacy. The security of your data is one of our greatest concerns. All information is strictly confidential and in accordance with GDPR rules.
 
 
Meet our hiring team…and APPLY NOW 😊",Mid-level,Full-time,"Lilantioi, Greece",EL,,,,2024-09-09,kariera.gr,168849
,"['http://data.europa.eu/esco/skill/0b144726-21c2-46ed-8d13-c03d27f61604', 'http://data.europa.eu/esco/skill/91abe492-18be-4cce-93c7-0dca07072363', 'http://data.europa.eu/esco/skill/a8797f21-1af0-4c5e-98ca-bf1442929363', 'http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535', 'http://data.europa.eu/esco/skill/f8e3425c-fe44-4ffb-bafe-0e20d91dadf4']",['http://data.europa.eu/esco/isco/C3313'],56,Assistant Accountant for a Paper Trading and Processing Company.,"An Accountant is wanted by a large Paper Trading and Processing Company based in Kryoneri Attica.
Five-day, 8-hour work, full-time and permanent employment.
Transfer from the ISAP Kifisia station to the company by private bus is provided.
Requirements
Required Qualifications:

TEI degree in Accounting, Business Administration or Finance.
Very good knowledge of Microsoft Office and especially Excel & Outlook.
Previous experience in Accounting, knowledge of myDATA and handling of the SAP computerized system will be considered an advantage.
Moderate knowledge of the English language.

Individual Skills:

Ability to prioritize, multi-task and meet deadlines.
Communicate internally and with external partners in a collaborative, positive manner.
Organizational and time management skills.
Team spirit to achieve company goals.",Mid-level,Full-time,"Kryoneri, Greece",EL,,,,2024-09-09,kariera.gr,168846
,"['http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7', 'http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137', 'http://data.europa.eu/esco/skill/477579e7-e0ca-4cc5-8712-17b78d0d8d2a', 'http://data.europa.eu/esco/skill/cf310cff-0d28-4dbc-9dbb-cc500a3196c2', 'http://data.europa.eu/esco/skill/e37d64dc-0f05-4ee8-b065-bf76f70d8f5c']","['http://data.europa.eu/esco/occupation/040fcfa5-24be-43eb-afd5-828297175b16', 'http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442', 'http://data.europa.eu/esco/occupation/7819669b-30c2-42e6-a1c4-0bcd6f0379ff', 'http://data.europa.eu/esco/isco/C3322', 'http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344']",90,Office Clerk,"In the team of kariera.gr | Hiring Solutions, we leverage our wealth of knowledge in staffing jobs covering all levels - mid-level and senior. We understand the diverse landscape of career opportunities and tailor our approach to meet your unique skills and aspirations.
In the team of kariera.gr | Hiring Solutions your every professional move is a step towards excellence. Choose us as the catalyst for your success, and let's plan your future together.
The Kariera Hiring Solutions team is looking for an Assistant Accountant on behalf of a client company active in the field of marketing and distribution of parapharmaceutical products and health food items.
Key Responsibilities:

Entry of sales documents, orders, purchase documents (imports), receipts (cash & checks)
Knowledge and experience in Commercial Company Sales Pricing
Use of ERP software programs (SOFTONE & ENTERSOFT)
Warehouse and import chain management
Elaboration of financial reporting
Communication and cooperation with members of the Administration 
Confidentiality, integrity and the ability to build and maintain trusting relationships

Required Qualifications:

University/Tei Degree in Business Administration or Finance
3-5 years of experience in the Financial Department of a company
Very good knowledge and experience of ERP software programs (SOFTONE & ENTERSOFT)
Excellent knowledge of PC and MS Office
Good knowledge of the English language
Communication & organizational skills and perception
Analytical thinking and team spirit

The company offers: 

Competitive remuneration package
Respectful and dynamic work environment
Continuous training and development

 
 #hiringsolutionsisrecruiting",Mid-level,Full-time,"Athens, Greece",EL,,,,2024-09-09,kariera.gr,168806
,"['http://data.europa.eu/esco/skill/0da516ee-e70e-4384-be13-f5ff80be8127', 'http://data.europa.eu/esco/skill/bdcac0c8-b77a-4640-9eaf-c0cf3efd1e23', 'http://data.europa.eu/esco/skill/db27065e-3c06-4f89-aa55-48fd87dabf82', 'http://data.europa.eu/esco/skill/e3e42d54-78bd-4337-aa87-bb31a7670c9a', 'http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b']","['http://data.europa.eu/esco/occupation/bafbc672-0ad9-41af-9de8-db0c91a24f9b', 'http://data.europa.eu/esco/isco/C3313']",93,ASSISTANT ACCOUNTANT,"Our company wishes to add to its staff an Accounting Assistant with the responsibilities of updating duplicate - aplographic books, sending VAT, withholding taxes, checking and registering documents, collections, payments, invoices and other accounting documents, communication with customers, use of AADE platform, GOV.GR. 
Work experience in a similar position as well as in Epsilon's HYPER Accounting programs will be appreciated.
We offer a comfortable and modern environment",Mid-level,Full-time / Part-time,"Ilioupoli, Greece",EL,,,,2024-09-09,kariera.gr,168791
,"['http://data.europa.eu/esco/skill/0bfb44c7-c412-49ed-aab4-e33d0dd3b265', 'http://data.europa.eu/esco/skill/0da516ee-e70e-4384-be13-f5ff80be8127', 'http://data.europa.eu/esco/skill/2239694b-771a-4586-8b54-2794e361a9ae', 'http://data.europa.eu/esco/skill/378caeec-10a0-4162-b75c-ab374a42e93d', 'http://data.europa.eu/esco/skill/75d8e5d9-bef3-418b-9011-01bff9f27207', 'http://data.europa.eu/esco/skill/7bb5d9af-0a7e-48a7-a860-0e1ded0f6e75', 'http://data.europa.eu/esco/skill/8330c86e-63cf-4be6-849f-4f77628cc5c5', 'http://data.europa.eu/esco/skill/ccdf3597-5c80-410f-896d-e1bdfa223de9']","['http://data.europa.eu/esco/occupation/13d1b2b4-99dd-44da-9734-c9f74bae18f7', 'http://data.europa.eu/esco/occupation/586fe133-1987-41f4-b89a-f39d4bc58e1e', 'http://data.europa.eu/esco/occupation/7843a4c6-a9f6-4095-94b9-45b384d4bd57', 'http://data.europa.eu/esco/occupation/a7594892-ff23-4e2a-aedf-2f967ebca15c', 'http://data.europa.eu/esco/occupation/f1fcad3b-fdf0-444a-81b0-e50e96f8966a', 'http://data.europa.eu/esco/isco/C3322']",101,STORE ASSISTANT - Brooks Brothers,"You will be called upon to play a key role in ensuring the success of our store by supervising a team of experienced salespeople and working closely with the Store Manager.
If you have a passion for the retail industry, excellent sales skills and team management experience, we invite you to join our company.
Duties:

Support the Store Manager in all aspects of store operations including sales, customer service, inventory management and product display.
Lead and encourage a team of 6-7 salespeople, fostering a positive and efficient work environment.
Train and onboard new team members, ensuring they have the knowledge and skills required to successfully perform their duties.
Maintain a deep understanding of the Brooks Brothers brand and our products, effectively communicating this knowledge to customers and the sales team.
Work with the Store Manager to develop and implement strategies to optimize store performance and improve the overall customer experience.
Ensure company visual display policies, procedures and guidelines are followed to create a commercial and visually appealing store environment.
Help resolve day-to-day customer issues and requests, ensuring maximum customer satisfaction.

Requirements:

Previous experience in responsible fashion retail positions.
History of meeting and exceeding sales targets.
Leadership skills, with the ability to encourage and inspire the team.
Excellent communication skills and interpersonal skills.
Excellent customer service, with the ability to build relationships of trust and establish long-term relationships with customers.

 
We offer competitive pay, work uniform every season, employee discount and career development opportunities within our organization.
 
To apply for this exciting opportunity, please submit your CV to outletbb@ltapparel.gr
 
Note: Only candidates selected for an interview will be contacted.",Senior,Full-time,"Spata Loutsas, Greece",EL,,,,2024-09-09,kariera.gr,168546
,"['http://data.europa.eu/esco/skill/16f61a5b-23ba-4268-8517-82c77c4041a1', 'http://data.europa.eu/esco/skill/1ddc021d-d818-4731-904f-842d7491f419', 'http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3', 'http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d', 'http://data.europa.eu/esco/skill/9cfd8148-f8cb-4512-914a-cfbc0ed3dfbb', 'http://data.europa.eu/esco/skill/ab986bc4-df92-4351-9ac1-aa75af943cf7', 'http://data.europa.eu/esco/skill/bdcac0c8-b77a-4640-9eaf-c0cf3efd1e23', 'http://data.europa.eu/esco/skill/cb668e89-6ef5-4ff3-ab4a-506010e7e70b', 'http://data.europa.eu/esco/skill/e3e42d54-78bd-4337-aa87-bb31a7670c9a', 'http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b', 'http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535', 'http://data.europa.eu/esco/skill/fe77f9ca-7bd2-4a68-98f4-8463a4fb8301']","['http://data.europa.eu/esco/occupation/044d78cc-f62f-4532-83a5-8e04f2889652', 'http://data.europa.eu/esco/occupation/21de0f3b-a71a-4263-a9ba-90c5f3721b4d', 'http://data.europa.eu/esco/occupation/bafbc672-0ad9-41af-9de8-db0c91a24f9b', 'http://data.europa.eu/esco/occupation/c3aae59e-1441-4b3e-bdd1-6da50dc7cf42', 'http://data.europa.eu/esco/isco/C141', 'http://data.europa.eu/esco/isco/C2411', 'http://data.europa.eu/esco/isco/C3313', 'http://data.europa.eu/esco/isco/C334', 'http://data.europa.eu/esco/isco/C3343', 'http://data.europa.eu/esco/isco/C4311', 'http://data.europa.eu/esco/isco/C4313']",106,Accounting/Administrative Assistant,"iLand, a company operating in the fields of construction and hospitality services, based in Alimos, Athens, is seeking to employ a motivated person to work as an accounting and administrative assistant.
You are expected to work closely with our Management Team on miscellaneous financial matters regarding the company and its clients, as well as collaborate with our outsource Accounting Partners on a regular basis to make sure all corporate financial data are updated and handled.
Responsibilities of the position include:

Reconciling invoices and identifying discrepancies
Communicating with vendors and partners about invoices and payments
Creating and updating expense reports
Issuing invoices to customers
Handling various accounting related inquiries for the Management Team (e.g. update on regulations, advising on financial procedures, assisting with tax return, resolving issues by visiting public organizations if required etc.)
Checking spreadsheets for accuracy
Establishing and maintaining digital and physical financial records
Collaborating with Property Management dpt regarding monthly bills payments for clients
Assisting with payroll (verifying timesheets, calculating vacation/sick days, assuring proper procedures are followed etc.)
Running various routine administrative/clerical duties, as required

Required skills:

BSc/BA in Accounting, Finance or relevant field
Work experience as an Accounting Assistant or Accounting Clerk
Very good knowledge of the Greek and the English language (verbal and written)
Hands-on experience with accounting software (SoftOne)
Excellent knowledge of basic bookkeeping procedures and familiarity with finance regulations, especially regarding corporate accounting
Meticulous with great attention to details and accuracy
Microsoft office literacy (mostly excel, word, power-point)
Ability to handle sensitive, confidential information
Highly motivated and able to prioritize efficiently when needed
Excellent communication and organization skills
Strong “can-do” mentality and punctuality
Professional manners and elegant appearance
Experience in CRM solutions will be considered an asset

Do you want to work in a prestigious multinational company as a vital member of the office team? Are you searching for a demanding, yet respectful and rewarding job environment that will help you bring out and enhance your diligence, wittiness and professional skills? Are you looking for an opportunity to further develop and grow with the company that you will be working for? Apply here now!
The Company offers:

Attractive Remuneration Package
Public Insurance
Private Insurance package
Friendly multinational working environment
Development opportunities",Entry / Junior,Full-time,"Alimos, Greece",EL,,,,2024-09-09,kariera.gr,168786
,"['http://data.europa.eu/esco/skill/2a0efd9a-4a60-4edc-8561-f2754d24eeb8', 'http://data.europa.eu/esco/skill/3c209873-c757-47bb-91b5-9b6dc05df116', 'http://data.europa.eu/esco/skill/66baba7d-178e-4c51-935f-03a9049ff2f6', 'http://data.europa.eu/esco/skill/89f5fa96-ae45-4906-902c-d50ca51009c6', 'http://data.europa.eu/esco/skill/a68d4de0-99a3-4c26-b84a-040e706e4714', 'http://data.europa.eu/esco/skill/ba1b0441-a6b8-4e57-8ccc-871012f63e42', 'http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b']","['http://data.europa.eu/esco/occupation/4ed9ce62-75d4-4b05-80d4-e86528fecdcd', 'http://data.europa.eu/esco/occupation/78db356f-a96a-4456-ab29-2de62e52f830', 'http://data.europa.eu/esco/occupation/8d463763-5d38-4f47-903c-1c4df32141c1', 'http://data.europa.eu/esco/occupation/99492920-e5a5-4dba-9e5a-93193147198c', 'http://data.europa.eu/esco/occupation/a198de8c-24b1-4002-982f-a57ae6d6c19c', 'http://data.europa.eu/esco/occupation/b9711647-463f-4991-a858-d5de66ff2f83', 'http://data.europa.eu/esco/occupation/dd89e26f-bb5c-45cb-91c6-8b4d5d82a31f', 'http://data.europa.eu/esco/isco/C241']",136,Treasury Assistant,"We are looking to recruit a responsible and motivated Treasury assistant to join our finance department.
 As a Treasury Assistant, you will play a crucial role in supporting the treasury department's daily operations and financial activities. You will assist in managing Letters of Guaranties and Loans of the Company and communicate with banks and insurance brokers for any issues related to the Treasury Dept.
Duties and responsibilities:

Issuance of Letters of Guaranties 
Preparation of applications and any relevant documents.
Communication with Banks or/ and Insurance companies for LG
Support in the controlling of loan agreements and follow up loans in the system (SAP).
Reconciliation of Loans and LGs
Follow up the LG’s commissions and prepare any payments to the Banks related to LGs and Loan repayments.

Job qualifications and requirements:

Bachelor’s degree in finance, Economics or Business Administration.
4-5 years of prior experience in a similar role or in finance or banking. 
Strong Knowledge of Microsoft Excel.
Strong Knowledge of SAP or any other financial software applications.
Excellent communication skills in English.

The company offers:

Competitive compensation package.
Private medical insurance.
Interesting and challenging tasks within large-scale projects.
Perspectives of continuous development and Education.
Pleasant working environment.

INTRAKAT Group is a leading player in the country’s construction sector and delivers high-end services from an integrated portfolio of business activities, including Infrastructure Public Projects, PPPs – Concessions, RES, environmental and digital “smart cities” projects, and Real Estate development projects.
We are working together, committed to creating a diverse and inclusive environment, where our highly collaborative team can thrive!
Social Impact footprint:

We contribute to Greece's green transition!
We support Greek suppliers!
We achieve near-total recycling. We recycled equivalent to 96.7% of Construction, Demolition, and Excavation Waste.
We operate responsibly!

 We value your privacy. All personal data provided in your application and CV will be kept completely confidential.
              Join our community and let’s build your future together!",Senior,Full-time,"Paiania, Greece",EL,,,,2024-09-09,kariera.gr,168739
